Division Name,Dept,Course,Name,Meth,Succ.,Compl,A,B,C,IPP,D,F,INP,W,Total
Behavioral  & Social Sciences,AHIS,AHIS-101,"Ahmadpour, Alireza",ONLIN,0.72,1.0,37,11,1,1,0,12,7,0,69
Behavioral  & Social Sciences,AHIS,AHIS-101,"Potts, Gretchen",ONLIN,0.56,0.79,20,5,2,0,1,10,0,10,48
Behavioral  & Social Sciences,AHIS,AHIS-101,"Robertson, Carolyn",ONLIN,0.86,0.94,19,12,0,0,1,2,0,2,36
Behavioral  & Social Sciences,AHIS,AHIS-102A,"Meyer, Walter",ONLIN,0.44,0.94,17,4,3,0,5,22,0,3,54
Behavioral  & Social Sciences,AHIS,AHIS-102A,"Russell, Elizabeth",ONLIN,0.89,0.95,27,2,5,0,1,1,0,2,38
Behavioral  & Social Sciences,AHIS,AHIS-102AH,"Russell, Elizabeth",ONLIN,1.0,1.0,26,0,1,1,0,0,0,0,28
Behavioral  & Social Sciences,AHIS,AHIS-102B,"Beckstead Whitney, Karen",ONLIN,0.65,0.92,27,17,2,0,1,18,0,6,71
Behavioral  & Social Sciences,AHIS,ART-150,"Naumann, Sonya",ONLIN,0.88,0.94,13,2,0,0,0,1,0,1,17
Behavioral  & Social Sciences,AHIS,ART-150,"Nelson, Mark",ONLIN,0.89,0.96,21,3,1,0,0,2,0,1,28
Behavioral  & Social Sciences,AHIS,ART-150,"Schwenkmeyer, Karen",ONLIN,0.79,0.94,19,7,0,0,0,5,0,2,33
Behavioral  & Social Sciences,ANTH,ANTH-1,"Desetto, Vincent",ONLIN,0.86,0.91,23,6,1,0,0,2,0,3,35
Behavioral  & Social Sciences,ANTH,ANTH-1,"Vigil, Alberto",ONLIN,0.93,0.98,54,12,8,0,2,2,0,2,80
Behavioral  & Social Sciences,ANTH,ANTH-1,"Wong, Billy",ONLIN,0.77,0.95,14,1,2,0,0,4,0,1,22
Behavioral  & Social Sciences,ANTH,ANTH-11,"Otero, Rodolfo",ONLIN,0.69,0.9,6,10,4,0,1,4,1,3,29
Behavioral  & Social Sciences,ANTH,ANTH-1H,"Waters, Marianne",ONLIN,0.93,0.96,21,4,1,0,0,1,0,1,28
Behavioral  & Social Sciences,ANTH,ANTH-2,"Mannen, Angela",ONLIN,0.75,0.77,25,12,3,0,1,0,0,12,53
Behavioral  & Social Sciences,ANTH,ANTH-3,"Olson, Kirsten",ONLIN,0.84,0.95,30,2,0,0,1,3,0,2,38
Behavioral  & Social Sciences,ANTH,ANTH-5,"Waters, Marianne",ONLIN,0.91,0.91,17,3,1,0,0,0,0,2,23
Behavioral  & Social Sciences,ANTH,ANTH-5,"Wong, Billy",ONLIN,0.9,1.0,10,4,5,0,0,2,0,0,21
Behavioral  & Social Sciences,CDEV,CDEV-103,"Jefferis, Janice",ONLIN,0.7,0.95,40,9,8,0,3,17,0,4,81
Behavioral  & Social Sciences,CDEV,CDEV-103,"Lopez-Arellano, Yadira",ONLIN,0.55,0.92,26,0,1,0,0,18,0,4,49
Behavioral  & Social Sciences,CDEV,CDEV-103,"Marquez, Valerie",ONLIN,0.68,0.95,17,4,5,0,3,7,0,2,38
Behavioral  & Social Sciences,CDEV,CDEV-103,"Tatsumi, Carol",HSDUL,1.0,1.0,16,2,1,0,0,0,0,0,19
