Division Name,Dept,Course,Name,Meth,Succ.,Compl,A,B,C,IPP,D,F,INP,W,Total
Behavioral    & Social Sciences,AHIS,AHIS-101,"Ahmadpour, Alireza",HYBRD,0.43,0.96,8.0,3,0,1,0,12,3,1,28
Behavioral    & Social Sciences,AHIS,AHIS-101,"Ahmadpour, Alireza",ONLIN,0.23,0.99,13.0,4,2,1,0,58,8,1,87
Behavioral    & Social Sciences,AHIS,AHIS-101,"Alamillo, Lucy",HYBRD,0.55,0.71,8.0,6,3,0,0,5,0,9,31
Behavioral    & Social Sciences,AHIS,AHIS-101,"Beckstead Whitney, Karen",HYBRD,0.76,0.86,13.0,6,3,0,0,1,2,4,29
Behavioral    & Social Sciences,AHIS,AHIS-101,"Bronte, Andrea",ONLIN,0.13,1.0,1.0,2,0,0,0,20,0,0,23
Behavioral    & Social Sciences,AHIS,AHIS-101,"Majstorovic, Mina",ONLIN,0.71,0.97,20.0,3,4,0,2,8,0,1,38
Behavioral    & Social Sciences,AHIS,AHIS-101,"Potts, Gretchen",ONLIN,0.35,1.0,6.0,3,0,0,0,17,0,0,26
Behavioral    & Social Sciences,AHIS,AHIS-101,"Robertson, Carolyn",ECC,0.8,1.0,21.0,17,5,0,3,8,0,0,54
Behavioral    & Social Sciences,AHIS,AHIS-101,"Russell, Elizabeth",ONLIN,0.78,0.85,28.0,2,2,0,0,3,0,6,41
Behavioral    & Social Sciences,AHIS,AHIS-102A,"Alamillo, Lucy",ONLIN,0.75,0.94,24.0,16,13,0,4,10,0,4,71
Behavioral    & Social Sciences,AHIS,AHIS-102AH,"Alamillo, Lucy",HYBRD,0.91,0.97,23.0,8,1,0,0,2,0,1,35
Behavioral    & Social Sciences,AHIS,AHIS-102B,"Beckstead Whitney, Karen",HYBRD,0.79,0.91,35.0,6,3,0,2,5,0,5,56
Behavioral    & Social Sciences,AHIS,AHIS-102B,"Beckstead Whitney, Karen",ONLIN,0.78,0.89,18.0,7,3,0,0,4,0,4,36
Behavioral    & Social Sciences,AHIS,AHIS-102C,"Ahmadpour, Alireza",ONLIN,0.62,1.0,15.0,4,3,1,0,13,1,0,37
Behavioral    & Social Sciences,AHIS,AHIS-102C,"Robertson, Carolyn",ECC,0.78,0.95,13.0,12,4,0,3,3,0,2,37
Behavioral    & Social Sciences,AHIS,AHIS-205B,"Wolfgram, Juliann",ECC,0.4,0.86,6.0,7,4,0,9,10,0,6,42
Behavioral    & Social Sciences,AHIS,AHIS-207,"Ahmadpour, Alireza",HYBRD,0.73,0.98,14.0,13,2,0,0,6,4,1,40
Behavioral    & Social Sciences,AHIS,AHIS-209,"Meyer, Walter",ONLIN,0.53,1.0,9.0,4,6,0,10,7,0,0,36
Behavioral    & Social Sciences,ANTH,ANTH-1,"Desetto, Vincent",ONLIN,0.76,0.93,34.0,6,2,0,2,7,0,4,55
Behavioral    & Social Sciences,ANTH,ANTH-1,"Otero, Rodolfo",ECC,0.81,0.83,12.0,11,6,0,1,0,0,6,36
Behavioral    & Social Sciences,ANTH,ANTH-1,"Ramirez, Lawrence",ECC,0.85,0.93,49.0,19,7,0,4,3,0,6,88
Behavioral    & Social Sciences,ANTH,ANTH-1,"Vigil, Alberto",ECC,0.89,0.89,25.0,12,3,0,0,0,0,5,45
Behavioral    & Social Sciences,ANTH,ANTH-1,"Waters, Marianne",ONLIN,0.88,0.95,42.0,23,9,0,1,5,0,4,84
Behavioral    & Social Sciences,ANTH,ANTH-11,"Mannen, Angela",HYBRD,0.78,0.89,4.0,7,3,0,0,2,0,2,18
Behavioral    & Social Sciences,ANTH,ANTH-11,"Otero, Rodolfo",ONLIN,0.74,0.94,16.0,3,4,0,1,5,0,2,31
Behavioral    & Social Sciences,ANTH,ANTH-1H,"Waters, Marianne",HYBRD,1.0,1.0,24.0,5,1,0,0,0,0,0,30
Behavioral    & Social Sciences,ANTH,ANTH-2,"Mannen, Angela",HYBRD,0.78,0.91,32.0,14,8,0,0,9,0,6,69
Behavioral    & Social Sciences,ANTH,ANTH-2,"Otero, Rodolfo",ECC,0.87,0.92,22.0,8,3,0,2,0,0,3,38
Behavioral    & Social Sciences,ANTH,ANTH-2,"Otero, Rodolfo",HYBRD,0.92,0.92,10.0,2,0,0,0,0,0,1,13
Behavioral    & Social Sciences,ANTH,ANTH-2,"Vigil, Alberto",ONLIN,0.71,0.86,27.0,1,2,0,0,6,0,6,42
Behavioral    & Social Sciences,ANTH,ANTH-3,"Olson, Kirsten",ONLIN,0.73,0.93,8.0,3,0,0,1,2,0,1,15
Behavioral    & Social Sciences,ANTH,ANTH-3,"Stifter, Dianna",ECC,0.32,0.34,9.0,4,1,0,0,1,0,29,44
Behavioral    & Social Sciences,ANTH,ANTH-4,"Waters, Marianne",ONLIN,0.89,0.89,31.0,14,3,0,0,0,0,6,54
Behavioral    & Social Sciences,ANTH,ANTH-5,"Vigil, Alberto",ECC,0.96,1.0,21.0,3,0,0,0,1,0,0,25
Behavioral    & Social Sciences,ANTH,ANTH-5,"Waters, Marianne",ECC,0.94,0.94,9.0,5,2,0,0,0,0,1,17
Behavioral    & Social Sciences,ANTH,ANTH-5,"White, Kathleen",ONLIN,0.84,0.92,30.0,6,5,0,1,3,0,4,49
Behavioral    & Social Sciences,ANTH,ANTH-5,"Wong, Billy",ECC,0.86,0.93,4.0,6,2,0,0,1,0,1,14
Behavioral    & Social Sciences,ANTH,ANTH-5,"Wong, Billy",ONLIN,0.92,0.96,19.0,3,0,0,0,1,0,1,24
Behavioral    & Social Sciences,ANTH,ANTH-7,"Otero, Rodolfo",ONLIN,0.82,0.94,7.0,13,8,0,2,2,0,2,34
Behavioral    & Social Sciences,ANTH,ANTH-9,"Mannen, Angela",ONLIN,0.23,0.35,4.0,1,1,0,0,3,0,17,26
Behavioral    & Social Sciences,CDEV,CDEV-103,"Jefferis, Janice",ECC,0.73,0.86,22.0,7,7,0,1,5,0,7,49
Behavioral    & Social Sciences,CDEV,CDEV-103,"Lopez-Arellano, Yadira",ONLIN,0.34,0.98,12.0,2,2,0,1,29,0,1,47
Behavioral    & Social Sciences,CDEV,CDEV-103,"Marano, Mark",ONLIN,0.29,0.94,8.0,1,1,0,2,20,0,2,34
Behavioral    & Social Sciences,CDEV,CDEV-103,"Marquez, Valerie",ECC,0.74,0.79,19.0,4,2,0,0,2,0,7,34
Behavioral    & Social Sciences,CDEV,CDEV-103,"Moen, Michelle",ECC,0.71,0.81,13.0,12,5,0,2,2,0,8,42
Behavioral    & Social Sciences,CDEV,CDEV-103,"Moutra, Reshon",ECC,0.7,0.86,43.0,14,6,0,6,8,0,13,90
Behavioral    & Social Sciences,CDEV,CDEV-103,"Simon, Monica",ONLIN,0.67,1.0,17.0,5,8,0,1,14,0,0,45
Behavioral    & Social Sciences,CDEV,CDEV-103,"Tatsumi, Carol",ECC,0.69,0.74,12.0,9,6,0,2,0,0,10,39
Behavioral    & Social Sciences,CDEV,CDEV-103,"Tatsumi, Carol",ONLIN,0.46,0.71,8.0,5,0,0,0,7,0,8,28
Behavioral    & Social Sciences,CDEV,CDEV-103,"Wilson, Brittany",ONLIN,0.78,0.85,29.0,10,3,0,0,4,0,8,54
